mep_id,start_date,end_date,political_group
197653,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
125020,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
125020,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
209140,10-11-2020,,Renew Europe Group
197806,02-07-2019,,Identity and Democracy Group
86793,02-07-2019,,Group of the Greens/European Free Alliance
197523,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197652,02-07-2019,,Group of the European People's Party (Christian Democrats)
124705,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124705,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197557,02-07-2019,,Renew Europe Group
197829,02-07-2019,,European Conservatives and Reformists Group
197540,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124714,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
124714,02-07-2019,04-03-2021,Group of the European People's Party (Christian Democrats)
124714,05-03-2021,,Non-attached Members
98341,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
98341,02-07-2019,,Group of the European People's Party (Christian Democrats)
197478,02-07-2019,11-05-2021,Identity and Democracy Group
197478,12-05-2021,22-06-2021,Non-attached Members
197478,23-06-2021,,European Conservatives and Reformists Group
197658,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197631,02-07-2019,18-10-2021,Renew Europe Group
197631,19-10-2021,,Renew Europe Group
96991,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96991,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96991,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197841,02-07-2019,,Group of the European People's Party (Christian Democrats)
239258,02-11-2022,,Non-attached Members
182995,02-07-2019,,Identity and Democracy Group
197501,02-07-2019,,European Conservatives and Reformists Group
251874,05-02-2024,20-02-2024,Non-attached Members
251874,21-02-2024,,Group of the European People's Party (Christian Democrats)
197799,02-07-2019,,Identity and Democracy Group
197837,02-07-2019,,Group of the Greens/European Free Alliance
197694,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197427,02-07-2019,,Group of the European People's Party (Christian Democrats)
197567,02-07-2019,,Renew Europe Group
197679,02-07-2019,,Group of the European People's Party (Christian Democrats)
124934,01-07-2014,14-11-2017,Group of the Greens/European Free Alliance
124934,15-11-2017,01-07-2019,Group of the Greens/European Free Alliance
124934,02-07-2019,,Group of the Greens/European Free Alliance
125005,01-07-2014,31-01-2017,Group of the Alliance of Liberals and Democrats for Europe
125005,01-02-2017,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
125005,02-07-2019,,Renew Europe Group
197650,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
209091,05-11-2020,10-11-2020,Non-attached Members
209091,11-11-2020,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197638,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
198096,02-07-2019,03-03-2020,European Conservatives and Reformists Group
198096,04-03-2020,,European Conservatives and Reformists Group
4267,20-07-1999,19-07-2004,Group of the Party of European Socialists
4267,20-07-2004,13-07-2009,Socialist Group in the European Parliament
4267,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4267,01-07-2014,14-12-2016,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4267,15-12-2016,19-03-2018,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4267,20-03-2018,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4267,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124709,01-07-2014,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
124709,02-07-2019,,Renew Europe Group
197582,02-07-2019,,Identity and Democracy Group
96775,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
96775,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
96775,02-11-2022,,Group of the European People's Party (Christian Democrats)
132366,27-04-2015,01-07-2019,European Conservatives and Reformists Group
132366,12-04-2023,,European Conservatives and Reformists Group
197794,02-07-2019,14-02-2023,Non-attached Members
197794,15-02-2023,,European Conservatives and Reformists Group
197798,02-07-2019,03-06-2021,Identity and Democracy Group
197798,04-06-2021,09-09-2021,Non-attached Members
197798,10-09-2021,,Group of the European People's Party (Christian Democrats)
197683,02-07-2019,24-01-2022,Identity and Democracy Group
197683,25-01-2022,,Non-attached Members
204400,04-02-2020,,Renew Europe Group
96801,14-07-2009,15-07-2009,European Conservatives and Reformists Group
96801,16-07-2009,17-02-2010,European Conservatives and Reformists Group
96801,18-02-2010,30-06-2014,European Conservatives and Reformists Group
96801,01-07-2014,12-12-2016,European Conservatives and Reformists Group
96801,13-12-2016,15-01-2017,European Conservatives and Reformists Group
96801,16-01-2017,08-02-2017,European Conservatives and Reformists Group
96801,09-02-2017,04-07-2017,European Conservatives and Reformists Group
96801,04-07-2017,04-07-2017,European Conservatives and Reformists Group
96801,05-07-2017,03-07-2018,European Conservatives and Reformists Group
96801,04-07-2018,01-07-2019,European Conservatives and Reformists Group
96801,02-07-2019,,European Conservatives and Reformists Group
237779,26-09-2022,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4289,20-07-1999,02-04-2000,Group of the European People's Party (Christian Democrats) and European Democrats
4289,03-04-2000,07-03-2002,Group of the European People's Party (Christian Democrats) and European Democrats
4289,08-03-2002,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
4289,20-07-2004,13-11-2004,Group of the European People's Party (Christian Democrats) and European Democrats
4289,14-11-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
4289,14-07-2009,15-09-2009,Group of the European People's Party (Christian Democrats)
4289,16-09-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
4289,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
4289,02-07-2019,,Group of the European People's Party (Christian Democrats)
197532,02-07-2019,,European Conservatives and Reformists Group
197756,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96698,14-07-2009,19-07-2009,Group of the Alliance of Liberals and Democrats for Europe
96698,20-07-2009,15-11-2012,Group of the Alliance of Liberals and Democrats for Europe
96698,01-07-2014,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
96698,02-07-2019,20-01-2021,Renew Europe Group
96698,21-01-2021,,Non-attached Members
197636,02-07-2019,,Group of the European People's Party (Christian Democrats)
197718,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28224,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28224,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
28224,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
28224,02-07-2019,,Group of the European People's Party (Christian Democrats)
23788,23-04-2003,17-12-2003,Group of the European People's Party (Christian Democrats) and European Democrats
23788,18-12-2003,30-04-2004,Union for Europe of the Nations Group
23788,01-05-2004,19-07-2004,Union for Europe of the Nations Group
23788,20-07-2004,28-08-2007,Union for Europe of the Nations Group
23788,29-08-2007,13-07-2009,Union for Europe of the Nations Group
23788,14-07-2009,15-07-2009,European Conservatives and Reformists Group
23788,16-07-2009,17-02-2010,European Conservatives and Reformists Group
23788,18-02-2010,12-12-2011,European Conservatives and Reformists Group
23788,13-12-2011,03-02-2014,European Conservatives and Reformists Group
23788,04-02-2014,30-06-2014,European Conservatives and Reformists Group
23788,02-07-2019,,European Conservatives and Reformists Group
197581,02-07-2019,,Renew Europe Group
197503,02-07-2019,,Group of the Greens/European Free Alliance
254719,26-03-2024,,Group of the European People's Party (Christian Democrats)
24505,01-07-2014,25-10-2018,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
24505,26-10-2018,05-11-2018,Non-attached Members
24505,06-11-2018,01-07-2019,Confederal Group of the European United Left
24505,02-07-2019,17-12-2020,Group of the European United Left
24505,18-12-2020,,The Left group in the European Parliament
197516,02-07-2019,,European Conservatives and Reformists Group
197401,02-07-2019,,Renew Europe Group
204368,23-01-2020,,Group of the European People's Party (Christian Democrats)
197446,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
36392,08-05-2006,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
36392,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
