mep_id,start_date,end_date,political_group
1311,21-04-1993,19-07-2004,Group of the Party of European Socialists
1311,20-07-2004,13-07-2009,Socialist Group in the European Parliament
251324,03-01-2024,,Group of the European People's Party (Christian Democrats)
867,17-07-1979,23-07-1984,Socialist Group
2314,06-06-1997,19-07-2004,Group of the Party of European Socialists
761,17-07-1979,23-07-1984,European Democratic Group
1715,24-07-1984,12-05-1988,Socialist Group
96931,14-07-2009,01-07-2019,Group of the European People's Party (Christian Democrats)
5689,27-11-1999,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
28224,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28224,14-07-2009,,Group of the European People's Party (Christian Democrats)
188622,29-06-2017,01-07-2019,European Conservatives and Reformists Group
1264,17-07-1979,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
1264,20-07-1999,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
1403,24-07-1984,20-04-1993,Socialist Group
1403,21-04-1993,19-07-2004,Group of the Party of European Socialists
1403,20-07-2004,13-07-2009,Socialist Group in the European Parliament
1403,14-07-2009,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28199,20-07-2004,13-07-2009,Socialist Group in the European Parliament
124876,01-07-2014,20-02-2018,European Conservatives and Reformists Group
124876,21-02-2018,01-07-2019,Non-attached Members
23847,23-04-2003,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
96899,14-07-2009,01-04-2024,Group of the European People's Party (Christian Democrats)
96784,14-07-2009,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28320,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28320,14-07-2009,30-06-2014,European Conservatives and Reformists Group
4488,20-07-1999,11-04-2000,Group of the Party of European Socialists
124734,01-07-2014,04-04-2024,Group of the European People's Party (Christian Democrats)
4443,20-07-1999,19-07-2004,Group of the Party of European Socialists
96830,14-07-2009,31-08-2010,Group of the European People's Party (Christian Democrats)
96830,02-07-2019,04-03-2021,Group of the European People's Party (Christian Democrats)
96830,05-03-2021,,Non-attached Members
1549,01-01-1986,24-07-1989,European Democratic Group
197798,02-07-2019,03-06-2021,Identity and Democracy Group
197798,04-06-2021,09-09-2021,Non-attached Members
197798,10-09-2021,,Group of the European People's Party (Christian Democrats)
198490,10-07-2019,,European Conservatives and Reformists Group
1057,25-07-1989,18-11-1998,The Green Group in the European Parliament
23690,23-04-2003,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
124851,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28329,20-07-2004,27-04-2006,Socialist Group in the European Parliament
96776,14-07-2009,09-11-2021,Group of the European People's Party (Christian Democrats)
96776,10-11-2021,,Renew Europe Group
4281,20-07-1999,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
4281,06-07-2005,08-10-2005,Group of the European People's Party (Christian Democrats) and European Democrats
197788,02-07-2019,,Identity and Democracy Group
28170,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28170,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
38847,04-07-2007,13-07-2009,Socialist Group in the European Parliament
1796,16-05-1988,24-07-1989,Socialist Group
951,01-09-1981,23-07-1984,Socialist Group
4341,20-07-1999,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
1506,17-07-1979,24-07-1989,European Democratic Group
28230,20-07-2004,13-07-2009,Socialist Group in the European Parliament
96999,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
753,17-07-1979,31-10-1979,Socialist Group
2082,19-07-1994,19-07-2004,Group of the Party of European Socialists
197589,02-07-2019,,Renew Europe Group
26829,01-05-2004,19-07-2004,"Group of the European Liberal, Democrat and Reform Party"
26829,20-07-2004,30-06-2014,Group of the Alliance of Liberals and Democrats for Europe
1421,17-07-1979,30-04-1992,European Democratic Group
1421,01-05-1992,18-07-1994,Group of the European People's Party (Christian-Democratic Group)
1146,25-07-1989,30-04-1992,European Democratic Group
1146,01-05-1992,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
28148,20-07-2004,13-07-2009,Socialist Group in the European Parliament
28148,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4457,20-07-1999,16-07-2000,Group of the European People's Party (Christian Democrats) and European Democrats
2160,19-07-1994,15-10-1995,Group of the Party of European Socialists
96884,14-07-2009,01-07-2019,Group of the European People's Party (Christian Democrats)
23740,28-04-2003,19-07-2004,Group of the Party of European Socialists
38606,06-06-2007,13-07-2009,Group of the Alliance of Liberals and Democrats for Europe
185619,14-11-2016,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
899,01-01-1981,18-10-1981,Socialist Group
28116,20-07-2004,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
1085,25-07-1989,20-04-1993,Socialist Group
1085,21-04-1993,19-07-1999,Group of the Party of European Socialists
5956,01-09-2000,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
5956,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
197667,02-07-2019,,Group of the European People's Party (Christian Democrats)
110984,01-12-2011,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1623,24-07-1984,05-11-1988,European Democratic Group
1329,01-01-1986,20-04-1993,Socialist Group
1329,21-04-1993,18-07-1994,Group of the Party of European Socialists
1329,09-04-1999,19-07-1999,Group of the Party of European Socialists
33995,26-09-2005,09-12-2007,Group of the Alliance of Liberals and Democrats for Europe
945,24-07-1984,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
945,20-07-1999,16-06-2002,Group of the European People's Party (Christian Democrats) and European Democrats
945,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
1336,06-07-1987,16-09-1987,Non-attached
1336,17-09-1987,17-11-1987,Technical Coordination and Defence of Independent Groups and Members
1336,18-11-1987,24-07-1989,Non-attached
1336,25-07-1989,18-07-1994,Liberal and Democratic Reformist Group
28422,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28422,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
38542,02-07-2019,29-11-2021,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96805,14-07-2009,30-06-2014,Europe of freedom and democracy Group
96805,01-07-2014,15-10-2014,Europe of Freedom and Direct Democracy Group
96805,16-10-2014,19-10-2014,Non-attached Members
96805,20-10-2014,01-07-2019,Europe of Freedom and Direct Democracy Group
28127,20-07-2004,28-09-2011,Group of the Alliance of Liberals and Democrats for Europe
188718,19-06-2017,01-07-2019,Europe of Nations and Freedom Group
28129,20-07-2004,13-07-2009,Socialist Group in the European Parliament
2229,19-07-1994,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
2229,20-07-1999,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
2229,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
111018,01-12-2011,30-06-2014,Group of the European People's Party (Christian Democrats)
28862,09-10-1985,12-12-1985,Liberal and Democratic Group
28862,13-12-1985,24-07-1989,Liberal and Democratic Reformist Group
